change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,rpt_earnings,up_or_down,up_yesterday,up_last3,up_last10,low_to_open,low_to_close,hi_to_open,hi_to_close,hi_to_low
-1.08,-0.03863055697496169,-1.135,94.07,2018-10-03,95.54,"Oct 3, 18",94.04,95.5,6327390,6327390,94.371,2018,10,40,3,2,276,False,False,False,False,False,False,1538524800,0,0,1,0.6666666666666666,0.3,0.9847120418848169,0.9996810885510792,1.0004188481675393,1.0156266609971298,1.0159506592939176
0.14,-0.03719979560551866,0.149,94.21,2018-10-04,94.5,"Oct 4, 18",93.2,94.07,6045259,6045259,93.9537,2018,10,40,4,3,277,False,False,False,False,False,False,1538611200,0,1,0,0.6666666666666666,0.3,0.9907515679812906,0.9892792697165906,1.0045710641012013,1.0030782294873157,1.0139484978540771
-0.9,-0.046397547266223735,-0.955,93.31,2018-10-05,94.19,"Oct 5, 18",92.89,93.86,6693436,6693436,93.4371,2018,10,40,5,4,278,False,False,False,False,False,False,1538697600,0,0,1,0.6666666666666666,0.3,0.9896654591945451,0.9954988747186797,1.0035158747070103,1.0094309291608616,1.0139950479061255
1.38,-0.03229432805314253,1.479,94.69,2018-10-08,94.93,"Oct 8, 18",93.0201,93.25,5762769,5762769,94.447,2018,10,41,8,0,281,False,False,False,False,False,False,1538956800,0,1,0,0.3333333333333333,0.3,0.9975345844504021,0.9823645580314712,1.0180160857908849,1.00253458654557,1.0205321215522238
2.39,-0.007869187531936597,2.524,97.08,2018-10-09,97.74,"Oct 9, 18",95.19,95.64,11598892,11598892,96.8089,2018,10,41,9,1,282,False,False,False,False,False,False,1539043200,0,1,1,0.6666666666666666,0.4,0.9952948557089084,0.98053152039555,1.021957340025094,1.0067985166872682,1.0267885282067444
-1.32,-0.021359223300970766,-1.36,95.76,2018-10-10,97.85,"Oct 10, 18",95.7,96.6,9002831,9002831,96.6423,2018,10,41,10,2,283,False,False,False,False,False,False,1539129600,0,0,1,0.6666666666666666,0.5,0.9906832298136646,0.9993734335839599,1.0129399585921326,1.0218253968253967,1.022466039707419
-1.84,-0.04016351558507913,-1.921,93.92,2018-10-11,96.29,"Oct 11, 18",93.6,95.81,9926549,9926549,94.8273,2018,10,41,11,3,284,False,False,False,False,False,False,1539216000,0,0,0,0.6666666666666666,0.5,0.976933514246947,0.9965928449744462,1.0050099154576766,1.025234241908007,1.0287393162393164
0.89,-0.031067961165048463,0.948,94.81,2018-10-12,95.17,"Oct 12, 18",93.67,94.76,8553947,8553947,94.6111,2018,10,41,12,4,285,False,False,False,False,False,False,1539302400,0,1,0,0.3333333333333333,0.5,0.9884972562262557,0.9879759519038076,1.004326720135078,1.0037970678198502,1.0160136649941283
-0.99,-0.041185487991824234,-1.044,93.82,2018-10-15,94.988,"Oct 15, 18",93.82,94.5,8305499,8305499,94.2215,2018,10,42,15,0,288,False,False,False,False,False,False,1539561600,0,0,1,0.3333333333333333,0.6,0.9928042328042327,1.0,1.0051640211640211,1.0124493711362184,1.0124493711362184
1.99,-0.020848237097598286,2.121,95.81,2018-10-16,96.07,"Oct 16, 18",94.34,94.7,11241700,11241700,95.5021,2018,10,42,16,1,289,False,False,False,False,False,False,1539648000,0,1,0,0.3333333333333333,0.5,0.9961985216473073,0.9846571339108653,1.0144667370644138,1.0027137042062415,1.0183379266482933
0.75,-0.01318344404701065,0.783,96.56,2018-10-17,96.62,Oct 17,94.9,95.18,9539386,9539386,96.1516,2018,10,42,17,2,290,False,False,False,False,False,False,1539734400,0,1,1,0.6666666666666666,0.5,0.9970582055053583,0.9828086164043083,1.0151292288295861,1.0006213753106876,1.0181243414120127
-0.39,-0.017169136433316225,-0.404,96.17,2018-10-18,97.245,Oct 18,95.74,96.4,11398373,11398373,96.414,2018,10,42,18,3,291,False,False,False,False,False,False,1539820800,0,0,1,0.6666666666666666,0.6,0.9931535269709543,0.9955287511698034,1.008765560165975,1.0111781220754914,1.0157196574054732
0.98,-0.0071538068472150095,1.019,97.15,2018-10-19,97.65,Oct 19,96.0,96.0,8950724,8950724,97.0172,2018,10,42,19,4,292,False,False,False,False,False,False,1539907200,0,1,0,0.6666666666666666,0.5,1.0,0.9881626351003602,1.0171875000000001,1.0051466803911477,1.0171875000000001
-0.01,-0.007256004087889564,-0.01,97.14,2018-10-22,97.58,Oct 22,96.7434,97.34,7122857,7122857,97.1187,2018,10,43,22,0,295,False,False,False,False,False,False,1540166400,0,0,1,0.6666666666666666,0.6,0.9938709677419354,0.99591723285979,1.0024655845490034,1.0045295449866172,1.0086476183388222
0.66,-0.0005109862033724799,0.679,97.8,2018-10-23,97.985,Oct 23,96.11,96.5,9405824,9405824,97.0928,2018,10,43,23,1,296,False,False,False,False,False,False,1540252800,0,1,0,0.3333333333333333,0.5,0.9959585492227979,0.9827198364008181,1.0153886010362694,1.0018916155419224,1.0195088960566019
-0.24,-0.0029637199795604706,-0.245,97.56,2018-10-24,99.17,Oct 24,97.275,97.5,10364712,10364712,98.2168,2018,10,43,24,2,297,False,False,False,False,False,False,1540339200,0,1,1,0.6666666666666666,0.5,0.9976923076923078,0.9970787207872079,1.0171282051282051,1.0165026650266502,1.0194808532510922
1.62,0.013592233009708866,1.661,99.18,2018-10-25,99.48,Oct 25,97.0,98.01,10737074,10737074,98.7726,2018,10,43,25,3,298,False,False,False,False,False,False,1540425600,0,1,1,0.6666666666666666,0.6,0.9896949290888685,0.9780197620488001,1.014998469543924,1.0030248033877798,1.0255670103092784
-0.24,0.011139499233520731,-0.242,98.94,2018-10-26,99.67,Oct 26,98.02,98.81,14925551,14925551,98.6776,2018,10,43,26,4,299,False,False,False,False,False,False,1540512000,0,1,1,1.0,0.7,0.9920048578079141,0.9907014352132606,1.0087035725129037,1.007378209015565,1.016833299326668
0.86,0.01992846193152788,0.869,99.8,2018-10-29,101.73,Oct 29,99.09,99.51,12706113,12706113,100.5302,2018,10,44,29,0,302,False,False,False,False,False,False,1540771200,0,1,1,1.0,0.7,0.9957793186614411,0.9928857715430862,1.0223093156466687,1.0193386773547095,1.026642446260975
2.62,0.04670413898824739,2.625,102.42,2018-10-30,102.6,Oct 30,100.056,100.21,12708524,12708524,101.8383,2018,10,44,30,1,303,False,False,False,False,False,False,1540857600,0,1,1,1.0,0.8,0.9984632272228321,0.9769185705916813,1.023849915178126,1.001757469244288,1.0254257615735187
-2.14,0.024833929483904005,-2.089,100.28,2018-10-31,102.49,Oct 31,100.115,102.49,12354910,12354910,100.7957,2018,10,44,31,2,304,True,False,False,False,False,False,1540944000,0,0,1,1.0,0.8,0.9768270075129281,0.9983546071001196,1.0,1.0220382927802154,1.0237227188732958
0.3,0.02789984670413903,0.299,100.58,2018-11-01,101.17,Nov 1,99.72,99.96,7735073,7735073,100.3668,2018,11,44,1,3,305,False,True,False,False,False,False,1541030400,0,1,0,0.6666666666666666,0.7,0.9975990396158464,0.9914495923642871,1.0121048419367749,1.0058659773314775,1.0145407139991978
0.76,0.03566683699540122,0.756,101.34,2018-11-02,101.57,Nov 2,100.31,100.88,7303209,7303209,100.9537,2018,11,44,2,4,306,False,False,False,False,False,False,1541116800,0,1,1,0.6666666666666666,0.8,0.994349722442506,0.9898361949871719,1.0068398096748612,1.0022695875271364,1.0125610607117934
1.57,0.05171180378129793,1.549,102.91,2018-11-05,103.1692,Nov 5,100.6324,101.19,7616825,7616825,102.5981,2018,11,45,5,0,309,False,False,False,False,False,False,1541376000,0,1,1,0.6666666666666666,0.8,0.994489574068584,0.9778680400349821,1.0195592449846824,1.0025187056651443,1.0252085809341722
